store,brand,week,logmove,Units sold,feat,price,Revenue,AGE60,EDUC,ETHNIC,INCOME,HHLARGE,WORKWOM,HVAL150,SSTRDIST,SSTRVOL,CPDIST5,CPWVOL5,Managers,,,,
48,tropicana,97,9.156095357,9471.999999,0,1.99,18849.28,0.097921961,0.303260384,0.099491703,10.75602879,0.07848683,0.459682823,0.303356282,4.65068687,1.615384615,2.198071182,0.904416734,Chris,,,,
48,dominicks,88,8.435549202,4607.999998,0,2.19,10091.52,0.097921961,0.303260384,0.099491703,10.75602879,0.07848683,0.459682823,0.303356282,4.65068687,1.615384615,2.198071182,0.904416734,Sam,,,,
49,dominicks,109,9.727227587,16768,1,1.58,26493.44,0.187473187,0.319949969,0.038352638,10.80675383,0.10247191,0.346411721,0.431708991,3.439418592,2.272727273,1.807235771,0.920568958,Sam,,,,
49,dominicks,143,9.967025573,21311.99999,0,1.69,36017.27999,0.187473187,0.319949969,0.038352638,10.80675383,0.10247191,0.346411721,0.431708991,3.439418592,2.272727273,1.807235771,0.920568958,Sam,,,,
52,dominicks,41,7.249925537,1408,0,2.69,3787.520001,0.152241195,0.372927296,0.084898613,11.05101698,0.101976511,0.393476864,0.727728684,4.793439152,1.055555556,2.533671515,0.334511569,Sam,,,,
53,tropicana,160,9.416378455,12288,0,3.41,41902.07998,0.300278681,0.2703835,0.065722248,10.60000405,0.113686757,0.312635693,0.441323063,10.45970992,1,2.132004658,0.332950694,Chris,,,,
53,minute.maid,152,8.502688505,4927.999999,1,2.81,13847.68,0.300278681,0.2703835,0.065722248,10.60000405,0.113686757,0.312635693,0.441323063,10.45970992,1,2.132004658,0.332950694,Erin,,,,
54,minute.maid,134,9.77201119,17536,1,1.99,34896.64001,0.090222278,0.421125644,0.046640859,10.91089788,0.103522408,0.43671875,0.646023263,4.899564267,1.333333333,1.963412365,0.645830051,Erin,,,,
62,tropicana,80,9.189321005,9792.000002,0,3.59,35153.28001,0.222534262,0.517760337,0.026510896,11.23619652,0.103979265,0.322765158,0.916699488,5.452685258,0.705882353,2.184049779,0.201722445,Chris,,,,
64,dominicks,72,8.877381955,7168.000002,0,2.19,15697.92001,0.141992021,0.16082131,0.070034198,10.60581744,0.135339885,0.391294542,0.093860685,3.503787688,1.923076923,1.939224403,0.560240328,Sam,,,,
67,tropicana,77,8.733594062,6208.000001,0,2.99,18561.92,0.210272984,0.284394654,0.050539779,10.79695991,0.101871469,0.385157627,0.376326075,1.63276453,1.785714286,1.929939975,1.143366607,Chris,,,,
67,tropicana,109,8.489616424,4864.000002,0,2.94,14300.16001,0.210272984,0.284394654,0.050539779,10.79695991,0.101871469,0.385157627,0.376326075,1.63276453,1.785714286,1.929939975,1.143366607,Chris,,,,
67,minute.maid,135,9.30637756,11008,0,1.99,21905.92,0.210272984,0.284394654,0.050539779,10.79695991,0.101871469,0.385157627,0.376326075,1.63276453,1.785714286,1.929939975,1.143366607,Erin,,,,
71,dominicks,151,11.34805082,84799.99985,1,1.49,126351.9998,0.26807087,0.159588077,0.074828009,10.40483843,0.075013729,0.303101737,0.163882428,6.673879403,1.45,1.818358986,0.266474174,Sam,,,,
72,minute.maid,112,10.69991308,44351.99989,0,1.49,66084.47983,0.283727688,0.268724553,0.04593884,10.71219307,0.101522843,0.331130976,0.571315163,3.002118069,0.857142857,1.696152707,0.644907796,Erin,,,,
72,minute.maid,136,8.793612072,6592.000003,0,2.79,18391.68001,0.283727688,0.268724553,0.04593884,10.71219307,0.101522843,0.331130976,0.571315163,3.002118069,0.857142857,1.696152707,0.644907796,Erin,,,,
73,tropicana,65,9.100525506,8960,0,2.99,26790.4,0.257450782,0.07305396,0.109213291,10.61496569,0.135340763,0.292748225,0.005144033,2.584605038,1.5,3.228630183,0.18318752,Chris,,,,
73,dominicks,146,9.984883191,21696.00001,0,1.79,38835.84001,0.257450782,0.07305396,0.109213291,10.61496569,0.135340763,0.292748225,0.005144033,2.584605038,1.5,3.228630183,0.18318752,Sam,,,,
74,dominicks,114,9.034080407,8384.000004,0,1.58,13246.72001,0.307397856,0.07119776,0.041542429,10.48001664,0.090196478,0.297796572,0.15625,7.05964577,0.666666667,2.533639879,0.394653498,Sam,,,,
75,tropicana,54,9.064157862,8640.000002,0,3.29,28425.60001,0.207699493,0.219548453,0.415999466,9.867082871,0.063964709,0.315583259,0.496,7.192666501,2.230769231,1.375126442,0.703181889,Chris,,,,
75,tropicana,149,9.195835686,9856.000002,0,3.19,31440.64001,0.207699493,0.219548453,0.415999466,9.867082871,0.063964709,0.315583259,0.496,7.192666501,2.230769231,1.375126442,0.703181889,Chris,,,,
75,minute.maid,126,8.14786713,3456,0,2.79,9642.240001,0.207699493,0.219548453,0.415999466,9.867082871,0.063964709,0.315583259,0.496,7.192666501,2.230769231,1.375126442,0.703181889,Erin,,,,
78,minute.maid,50,8.51559191,4992,0,2.62,13079.04,0.111947994,0.314432275,0.056086079,10.95917494,0.111221204,0.423952262,0.528312901,0.132096821,1.142857143,1.704244878,0.515669276,Erin,,,,
81,dominicks,93,9.924074186,20416,0,1.29,26336.64,0.181118938,0.234201612,0.073961623,10.71993585,0.088337065,0.42954279,0.478846154,3.768907476,0.791666667,1.132215571,0.379390304,Sam,,,,
88,tropicana,66,8.476371197,4800,0,3.39,16272,0.160414212,0.15163275,0.142928009,10.54980515,0.13516767,0.401899961,0.18957346,4.981954638,1.6,2.087538672,0.489796498,Chris,,,,
88,minute.maid,118,8.286017468,3967.999998,0,2.26,8967.679996,0.160414212,0.15163275,0.142928009,10.54980515,0.13516767,0.401899961,0.18957346,4.981954638,1.6,2.087538672,0.489796498,Erin,,,,
88,dominicks,77,8.624791202,5568,1,1.99,11080.32,0.160414212,0.15163275,0.142928009,10.54980515,0.13516767,0.401899961,0.18957346,4.981954638,1.6,2.087538672,0.489796498,Sam,,,,
88,dominicks,104,7.249925537,1408,0,1.39,1957.120001,0.160414212,0.15163275,0.142928009,10.54980515,0.13516767,0.401899961,0.18957346,4.981954638,1.6,2.087538672,0.489796498,Sam,,,,
89,minute.maid,130,8.317766167,4096.000001,0,2.18,8929.280003,0.205811359,0.053349435,0.353053696,10.30811898,0.158335448,0.297890415,0.00250941,7.139074251,1.526315789,1.734594238,0.232061895,Erin,,,,
89,dominicks,113,9.411156511,12224,1,1.69,20658.55999,0.205811359,0.053349435,0.353053696,10.30811898,0.158335448,0.297890415,0.00250941,7.139074251,1.526315789,1.734594238,0.232061895,Sam,,,,
91,minute.maid,80,11.49777122,98496.00028,1,1.69,166458.2405,0.255730611,0.144310113,0.024680506,10.53844932,0.108284634,0.289097744,0.144424674,6.292594104,2.571428571,2.089837391,0.681790161,Erin,,,,
92,minute.maid,70,7.965545573,2880,0,2.46,7084.799999,0.137827632,0.27012665,0.375388716,10.65780038,0.15049505,0.323033209,0.134417808,3.764544229,2.25,1.591835871,0.348654011,Erin,,,,
93,tropicana,135,9.738612909,16959.99999,0,2.5,42399.99999,0.142390194,0.363016383,0.347395301,10.36719012,0.072001002,0.420637376,0.491839763,13.1902194,0.666666667,1.331641281,0.222243272,Chris,,,,
93,dominicks,79,7.049254841,1152,0,2.69,3098.879999,0.142390194,0.363016383,0.347395301,10.36719012,0.072001002,0.420637376,0.491839763,13.1902194,0.666666667,1.331641281,0.222243272,Sam,,,,
94,minute.maid,150,10.21800628,27392.00003,1,2.29,62727.68007,0.103002197,0.229390404,0.059311691,10.7445158,0.128111377,0.402313223,0.367446809,3.960019335,1.494736842,1.804932958,0.42732801,Erin,,,,
94,dominicks,91,8.783855897,6528.000002,0,1.69,11032.32,0.103002197,0.229390404,0.059311691,10.7445158,0.128111377,0.402313223,0.367446809,3.960019335,1.494736842,1.804932958,0.42732801,Sam,,,,
97,tropicana,87,7.203405521,1344,0,3.19,4287.36,0.142433234,0.178182783,0.233612085,10.48374595,0.139324117,0.390218878,0.135732648,16.73439396,1.1875,2.520728232,0.271672959,Chris,,,,
97,tropicana,101,7.249925537,1408,0,3.19,4491.520001,0.142433234,0.178182783,0.233612085,10.48374595,0.139324117,0.390218878,0.135732648,16.73439396,1.1875,2.520728232,0.271672959,Chris,,,,
97,minute.maid,88,7.920083199,2752,0,2.26,6219.52,0.142433234,0.178182783,0.233612085,10.48374595,0.139324117,0.390218878,0.135732648,16.73439396,1.1875,2.520728232,0.271672959,Erin,,,,
100,tropicana,67,10.23652533,27904.00009,0,2.39,66690.56022,0.136995144,0.049550286,0.564086801,10.0365751,0.216354344,0.267233951,0.011117974,8.369534986,1.115384615,2.109824346,0.197683955,Chris,,,,
101,minute.maid,88,8.733594062,6208.000001,0,2.26,14030.08,0.225035218,0.174741859,0.087422017,10.65993812,0.096042271,0.390065147,0.354573672,4.849622717,0.5,2.200317948,0.342081421,Erin,,,,
101,dominicks,68,9.121727714,9152.000003,0,2.19,20042.88001,0.225035218,0.174741859,0.087422017,10.65993812,0.096042271,0.390065147,0.354573672,4.849622717,0.5,2.200317948,0.342081421,Sam,,,,
101,dominicks,152,8.7740036,6463.999999,1,1.89,12216.96,0.225035218,0.174741859,0.087422017,10.65993812,0.096042271,0.390065147,0.354573672,4.849622717,0.5,2.200317948,0.342081421,Sam,,,,
102,minute.maid,153,11.43474768,92479.99964,1,1.99,184035.1993,0.216626232,0.120657539,0.172158585,10.49385422,0.13893104,0.289944134,0.034301485,5.844058186,0.689655172,2.353846891,0.158903149,Erin,,,,
104,dominicks,48,7.249925537,1408,0,2.09,2942.720001,0.135286373,0.249684461,0.039405624,10.69885282,0.117514274,0.405306896,0.407496492,11.94482409,1.052631579,1.342004856,0.189129482,Sam,,,,
104,dominicks,108,8.66974259,5824.000001,0,1.58,9201.920001,0.135286373,0.249684461,0.039405624,10.69885282,0.117514274,0.405306896,0.407496492,11.94482409,1.052631579,1.342004856,0.189129482,Sam,,,,
107,minute.maid,95,9.486759252,13184,0,1.69,22280.96,0.261867453,0.273051907,0.025624482,10.82713119,0.094316953,0.311220523,0.533949633,5.821370205,1.19047619,1.994644862,0.300364461,Erin,,,,
107,dominicks,79,7.049254841,1152,0,2.19,2522.879999,0.261867453,0.273051907,0.025624482,10.82713119,0.094316953,0.311220523,0.533949633,5.821370205,1.19047619,1.994644862,0.300364461,Sam,,,,
109,tropicana,92,10.79088486,48575.99996,0,1.99,96666.23993,0.151055656,0.476916693,0.060687451,11.23319833,0.114171257,0.340806694,0.878804348,7.481499805,0.714285714,2.416943478,0.394100191,Chris,,,,
109,tropicana,118,9.501217335,13376,0,3.19,42669.43999,0.151055656,0.476916693,0.060687451,11.23319833,0.114171257,0.340806694,0.878804348,7.481499805,0.714285714,2.416943478,0.394100191,Chris,,,,
110,dominicks,47,8.68067166,5887.999998,1,2.09,12305.91999,0.114956688,0.167553191,0.152944449,10.52085999,0.161950632,0.404314087,0.232741256,8.458996675,0.954545455,2.335458124,0.321927182,Sam,,,,
110,dominicks,55,10.29661014,29632.00008,1,1.79,53041.28014,0.114956688,0.167553191,0.152944449,10.52085999,0.161950632,0.404314087,0.232741256,8.458996675,0.954545455,2.335458124,0.321927182,Sam,,,,
110,dominicks,149,9.30637756,11008,0,1.99,21905.92,0.114956688,0.167553191,0.152944449,10.52085999,0.161950632,0.404314087,0.232741256,8.458996675,0.954545455,2.335458124,0.321927182,Sam,,,,
113,dominicks,56,8.929567708,7552.000001,0,1.79,13518.08,0.299352545,0.151592429,0.026448309,10.64766049,0.091559829,0.297514876,0.378173027,4.235048902,0.52173913,3.305794933,0.366915963,Sam,,,,
113,dominicks,143,10.48144832,35647.99988,0,1.69,60245.1198,0.299352545,0.151592429,0.026448309,10.64766049,0.091559829,0.297514876,0.378173027,4.235048902,0.52173913,3.305794933,0.366915963,Sam,,,,
114,tropicana,153,8.624791202,5568,0,2.99,16648.32,0.182173295,0.094424515,0.441169508,10.34794899,0.111967075,0.307476963,0.009842116,4.935835625,1.454545455,3.239227061,0.147758687,Chris,,,,
117,tropicana,131,10.1402973,25344.00014,0,1.79,45365.76024,0.110102729,0.249083542,0.049851894,10.76096203,0.106357795,0.439136251,0.352834113,3.434272274,1.4,1.849425028,0.498380462,Chris,,,,
118,tropicana,110,8.895081532,7296.000002,0,3.07,22398.72001,0.289442379,0.224725883,0.040669145,10.63236378,0.090132827,0.354977468,0.475752773,1.945508831,0.923076923,2.046488588,0.513721734,Chris,,,,
119,dominicks,96,9.835636886,18688.00001,1,1.59,29713.92001,0.121574965,0.279952033,0.049584956,10.75271926,0.089350352,0.462266179,0.459405941,2.213790697,1.153846154,2.71959438,0.722367357,Sam,,,,
121,tropicana,84,9.793672687,17920.00001,0,2.99,53580.80003,0.16358133,0.35061287,0.039173539,10.94992897,0.091693756,0.382304265,0.61086249,3.751225161,1.090909091,2.069345766,0.559533568,Chris,,,,
122,dominicks,53,9.45720045,12800,0,1.89,24192,0.061953911,0.255889066,0.078372885,10.77505285,0.125831821,0.425860127,0.280446271,2.597516352,0.6,2.752490308,0.238737607,Sam,,,,
124,dominicks,117,10.57234204,39039.99998,0,1.59,62073.59997,0.119625811,0.261875835,0.572355861,10.25895677,0.12494986,0.348518562,0.416315588,6.328746874,0.727272727,1.793795763,0.202168946,Sam,,,,
126,minute.maid,130,10.4241843,33664.00013,0,1.92,64634.88025,0.107002273,0.413222417,0.045018573,10.9808762,0.113699475,0.421959283,0.573626374,5.065200839,1.69047619,1.858260236,0.717799295,Erin,,,,
128,dominicks,75,8.42156296,4543.999998,0,2.69,12223.36,0.157485189,0.211896894,0.355911221,10.15342882,0.100043497,0.398251192,0.26618705,10.6674474,2,1.409463486,0.259004207,Sam,,,,
128,dominicks,122,8.691482577,5952.000003,0,1.74,10356.48001,0.157485189,0.211896894,0.355911221,10.15342882,0.100043497,0.398251192,0.26618705,10.6674474,2,1.409463486,0.259004207,Sam,,,,
130,dominicks,134,9.128696383,9216.000001,0,1.98,18247.68,0.145117314,0.143406846,0.984896319,9.966650127,0.111081513,0.337029744,0.080565371,17.85595081,1.636363636,0.951815576,0.094561751,Sam,,,,
131,tropicana,116,9.034080407,8384.000004,0,2.66,22301.44001,0.17065481,0.2713958,0.074656427,10.79353697,0.090100341,0.414841412,0.455995496,3.159728192,0.625,1.49003586,0.383226786,Chris,,,,
132,dominicks,146,9.416378455,12288,0,1.79,21995.51999,0.139617348,0.264528441,0.273974204,10.61915425,0.129984231,0.352754754,0.148870968,2.312046161,1.5625,2.795615017,0.478339596,Sam,,,,
134,dominicks,81,8.971067439,7872.000002,1,1.59,12516.48,0.090152653,0.247949139,0.105855856,10.7225182,0.154877575,0.388116308,0.346153846,6.678129633,1.972222222,3.224540507,0.657090005,Sam,,,,
134,dominicks,88,7.965545573,2880,0,2.49,7171.199999,0.090152653,0.247949139,0.105855856,10.7225182,0.154877575,0.388116308,0.346153846,6.678129633,1.972222222,3.224540507,0.657090005,Sam,,,,
137,tropicana,89,9.927204079,20480,0,3.59,73523.19999,0.20960245,0.528362014,0.11324985,10.96648993,0.092996052,0.330292847,0.86073903,6.02648362,0.705882353,0.772529732,0.333761209,Chris,,,,
137,tropicana,152,9.908276069,20095.99999,1,3.09,62096.63998,0.20960245,0.528362014,0.11324985,10.96648993,0.092996052,0.330292847,0.86073903,6.02648362,0.705882353,0.772529732,0.333761209,Chris,,,,
137,minute.maid,79,9.538780437,13888,0,2.59,35969.92,0.20960245,0.528362014,0.11324985,10.96648993,0.092996052,0.330292847,0.86073903,6.02648362,0.705882353,0.772529732,0.333761209,Erin,,,,
137,dominicks,100,10.94447073,56640.00009,0,0.99,56073.60009,0.20960245,0.528362014,0.11324985,10.96648993,0.092996052,0.330292847,0.86073903,6.02648362,0.705882353,0.772529732,0.333761209,Sam,,,,
137,dominicks,128,10.06967973,23616.00006,0,1.69,39911.0401,0.20960245,0.528362014,0.11324985,10.96648993,0.092996052,0.330292847,0.86073903,6.02648362,0.705882353,0.772529732,0.333761209,Sam,,,,
